Age,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_M,Cabin_T,Embarked_C,Embarked_Q,Embarked_S,Family_cat_Alone,Family_cat_Large,Family_cat_Small,Fare,Pclass,Sex_female,Sex_male,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other,Title_Rev
22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7.25,3,0,1,0,0,1,0,0,0
38,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,71.2833,1,1,0,0,0,0,1,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.925,3,1,0,0,1,0,0,0,0
35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,53.1,1,1,0,0,0,0,1,0,0
35,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,8.4583,3,0,1,0,0,1,0,0,0
54,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,51.8625,1,0,1,0,0,1,0,0,0
2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,21.075,3,0,1,1,0,0,0,0,0
27,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,11.1333,3,1,0,0,0,0,1,0,0
14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,30.0708,2,1,0,0,0,0,1,0,0
4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,16.7,3,1,0,0,1,0,0,0,0
58,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,26.55,1,1,0,0,1,0,0,0,0
20,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
39,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,31.275,3,0,1,0,0,1,0,0,0
14,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.8542,3,1,0,0,1,0,0,0,0
55,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,16.0,2,1,0,0,0,0,1,0,0
2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,29.125,3,0,1,1,0,0,0,0,0
30,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,13.0,2,0,1,0,0,1,0,0,0
31,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,18.0,3,1,0,0,0,0,1,0,0
21,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.225,3,1,0,0,0,0,1,0,0
35,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,26.0,2,0,1,0,0,1,0,0,0
34,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,13.0,2,0,1,0,0,1,0,0,0
15,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,8.0292,3,1,0,0,1,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,35.5,1,0,1,0,0,1,0,0,0
8,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,21.075,3,1,0,0,1,0,0,0,0
38,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,31.3875,3,1,0,0,0,0,1,0,0
26,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.225,3,0,1,0,0,1,0,0,0
19,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,263.0,1,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.8792,3,1,0,0,1,0,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.8958,3,0,1,0,0,1,0,0,0
40,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,27.7208,1,0,1,0,0,0,0,1,0
34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,146.5208,1,1,0,0,0,0,1,0,0
21,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.75,3,1,0,0,1,0,0,0,0
66,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10.5,2,0,1,0,0,1,0,0,0
28,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,82.1708,1,0,1,0,0,1,0,0,0
42,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,52.0,1,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.2292,3,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
18,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,18.0,3,1,0,0,1,0,0,0,0
14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,11.2417,3,1,0,0,1,0,0,0,0
40,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,9.475,3,1,0,0,0,0,1,0,0
27,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,21.0,2,1,0,0,0,0,1,0,0
26,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.8958,3,0,1,0,0,1,0,0,0
3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,41.5792,2,1,0,0,1,0,0,0,0
19,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.8792,3,1,0,0,1,0,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.05,3,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,15.5,3,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.75,3,1,0,0,1,0,0,0,0
26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,21.6792,3,0,1,0,0,1,0,0,0
18,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,17.8,3,1,0,0,0,0,1,0,0
7,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,39.6875,3,0,1,1,0,0,0,0,0
21,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7.8,3,0,1,0,0,1,0,0,0
49,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,76.7292,1,1,0,0,0,0,1,0,0
29,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,26.0,2,1,0,0,0,0,1,0,0
65,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,61.9792,1,0,1,0,0,1,0,0,0
41,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,35.5,1,0,1,0,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10.5,2,1,0,0,1,0,0,0,0
28,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.2292,3,0,1,0,0,1,0,0,0
5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,27.75,2,1,0,0,1,0,0,0,0
11,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,46.9,3,0,1,1,0,0,0,0,0
22,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7.2292,3,0,1,0,0,1,0,0,0
38,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,80.0,1,1,0,0,1,0,0,0,0
45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,83.475,1,0,1,0,0,1,0,0,0
4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,27.9,3,0,1,1,0,0,0,0,0
41,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,27.7208,1,0,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,15.2458,3,0,1,1,0,0,0,0,0
29,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,10.5,2,1,0,0,0,0,1,0,0
19,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8.1583,3,0,1,0,0,1,0,0,0
